Organism.Name	Super.Group
Gossypium mustelinum	Streptophyta
Gossypium tomentosum	Streptophyta
Acer yangbiense	Streptophyta
Cocos nucifera	Streptophyta
Prunus dulcis	Streptophyta
Striga asiatica	Streptophyta
Nyssa sinensis	Streptophyta
Pyrus ussuriensis x Pyrus communis	Streptophyta
Salix brachista	Streptophyta
Mikania micrantha	Streptophyta
Colocasia esculenta	Streptophyta
Rhododendron williamsianum	Streptophyta
Lupinus albus	Streptophyta
Hevea brasiliensis	Streptophyta
Nymphaea thermarum	Streptophyta
Sinapis alba	Streptophyta
Cannabis sativa	Streptophyta
Thalictrum thalictroides	Streptophyta
Tripterygium wilfordii	Streptophyta
Gossypium trilobum	Streptophyta
Gossypium lobatum	Streptophyta
Gossypium gossypioides	Streptophyta
Gossypium aridum	Streptophyta
Gossypium laxum	Streptophyta
Camellia sinensis	Streptophyta
Gossypium davidsonii	Streptophyta
Gossypium harknessii	Streptophyta
Gossypium armourianum	Streptophyta
Gossypium schwendimanii	Streptophyta
Kingdonia uniflora	Streptophyta
Marchantia paleacea	Streptophyta
Rhododendron simsii	Streptophyta
Actinidia rufa	Streptophyta
Adiantum capillus-veneris	Streptophyta
Senna tora	Streptophyta
Corymbia citriodora subsp. variegata	Streptophyta
Ceratodon purpureus	Streptophyta
Phtheirospermum japonicum	Streptophyta
Tetracentron sinense	Streptophyta
Digitaria exilis	Streptophyta
Coptis chinensis	Streptophyta
Salix dunnii	Streptophyta
Populus deltoides	Streptophyta
Vanilla planifolia	Streptophyta
Brassica carinata	Streptophyta
Carya illinoinensis	Streptophyta
Panicum virgatum	Streptophyta
Brassica rapa subsp. trilocularis	Streptophyta
Datura stramonium	Streptophyta
Rhododendron griersonianum	Streptophyta
Solanum commersonii	Streptophyta
Zingiber officinale	Streptophyta
Cucurbita argyrosperma subsp. sororia	Streptophyta
Populus tomentosa	Streptophyta
Arabidopsis thaliana x Arabidopsis arenosa	Streptophyta
Arabidopsis suecica	Streptophyta
Zizania palustris	Streptophyta
Paulownia fortunei	Streptophyta
Buddleja alternifolia	Streptophyta
Gossypium anomalum	Streptophyta
Perilla frutescens var. frutescens	Streptophyta
Lithospermum erythrorhizon	Streptophyta
Taxus chinensis	Streptophyta
Aristolochia fimbriata	Streptophyta
Dendrobium chrysotoxum	Streptophyta
Solanum tuberosum	Streptophyta
Prunus armeniaca	Streptophyta
Gossypium stocksii	Streptophyta
Rubroshorea leprosula	Streptophyta
Ziziphus jujuba var. spinosa	Streptophyta
Xanthoceras sorbifolium	Streptophyta
Dioscorea alata	Streptophyta
Vaccinium darrowii	Streptophyta
Sphagnum fallax	Streptophyta
Eleusine coracana subsp. coracana	Streptophyta
Sphagnum magellanicum	Streptophyta
Heliosperma pusillum	Streptophyta
Bauhinia variegata	Streptophyta
Dendrobium nobile	Streptophyta
Psidium guajava	Streptophyta
Cichorium intybus	Streptophyta
Arctium lappa	Streptophyta
Smallanthus sonchifolius	Streptophyta
Papaver nudicaule	Streptophyta
Papaver bracteatum	Streptophyta
Papaver atlanticum	Streptophyta
Papaver armeniacum	Streptophyta
Papaver californicum	Streptophyta
Musa troglodytarum	Streptophyta
Melastoma candidum	Streptophyta
Pisum sativum	Streptophyta
Catharanthus roseus	Streptophyta
Syzygium grande	Streptophyta
Ambrosia artemisiifolia	Streptophyta
Camellia lanceoleosa	Streptophyta
Rhododendron molle	Streptophyta
Acacia pycnantha	Streptophyta
Acer negundo	Streptophyta
Tanacetum coccineum	Streptophyta
Pistacia integerrima	Streptophyta
Pistacia atlantica	Streptophyta
Hirschfeldia incana	Streptophyta
Paspalum vaginatum	Streptophyta
Dioscorea zingiberensis	Streptophyta
Sesbania bispinosa	Streptophyta
Rhynchospora breviuscula	Streptophyta
Rhynchospora tenuis	Streptophyta
Juncus effusus	Streptophyta
Closterium sp. NIES-68	Streptophyta
Closterium sp. NIES-67	Streptophyta
Melia azedarach	Streptophyta
Rhynchospora pubera	Streptophyta
Turnera subulata	Streptophyta
Euphorbia peplus	Streptophyta
Protea cynaroides	Streptophyta
